NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,5.0,1-Y,5.0,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,ON,BeforeComponent,42,Head1,Drop,Station3,PickUp,Station1,
NozzleChange,ON,BeforeComponent,44,Head1,Drop,Station3,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
R12,0,R0805,5.46,54.61,270,1,1,80,0,0,3,0
R3,100k,R0805,22.23,57.15,180,1,12,80,0,0,3,0
R9,100k,R0805,10.79,32.38,180,1,12,80,0,0,3,0
R14,100k,R0805,12.07,45.72,180,1,12,80,0,0,3,0
R16,100k,R0805,20.32,54.61,180,1,12,80,0,0,3,0
R18,100k,R0805,20.96,51.44,90,1,12,80,0,0,3,0
R1,10k,R0805,5.71,10.16,180,1,13,80,0,0,3,0
R2,10k,R0805,9.60,55.88,180,1,13,80,0,0,3,0
R4,10k,R0805,26.04,53.98,180,1,13,80,0,0,3,0
R8,10k,R0805,29.21,27.30,0,1,13,80,0,0,3,0
R10,10k,R0805,16.51,40.64,90,1,13,80,0,0,3,0
R11,10k,R0805,5.71,12.70,0,1,13,80,0,0,3,0
R15,10k,R0805,17.14,48.90,180,1,13,80,0,0,3,0
R19,10k,R0805,19.05,45.09,270,1,13,80,0,0,3,0
Q1,FDN360P,SUPER-SOT3,17.78,58.42,270,1,14,80,0,0,3,0
Q2,FDN360P,SUPER-SOT3,8.89,27.30,270,1,14,80,0,0,3,0
Q3,FDN360P,SUPER-SOT3,15.88,54.61,270,1,14,80,0,0,3,0
IC3,74LVC1T45GW,SOT363,5.08,5.08,270,1,15,50,0,0,3,0
IC4,74LVC1T45GW,SOT363,5.08,7.62,270,1,15,50,0,0,3,0
T1,BC847,SOT23,15.24,33.02,180,1,3,50,0,0,4,0
T3,BC847,SOT23,17.14,51.44,90,1,3,50,0,0,4,0
T4,BC847,SOT23,26.04,57.15,90,1,3,50,0,0,4,0
D1,1N4001,SOD123,8.26,29.85,0,1,30,70,0,0,3,0
D2,1N4001,SOD123,6.99,51.44,180,1,30,70,0,0,3,0
C1,100n,C0805,3.43,54.61,270,1,37,50,0,0,3,0
C2,100n,C0805,12.07,48.90,0,1,37,50,0,0,3,0
C8,10u,C0805,13.97,27.30,0,1,37,50,0,0,3,0
C9,33p,C0805,13.97,24.77,0,1,37,50,0,0,3,0
C10,10p,C0805,13.97,29.85,0,1,37,50,0,0,3,0
C11,100n,C0805,16.51,45.09,270,1,37,50,0,0,3,0
C12,100n,C0805,7.62,49.28,180,1,37,50,0,0,3,0
C13,10n,C0805,4.45,31.12,270,1,37,50,0,0,3,0
C16,10n,C0805,21.59,45.09,90,1,37,50,0,0,3,0
C3,22p,C0805,17.78,30.48,270,1,38,50,0,0,3,0
C5,22p,C0805,20.32,30.35,270,1,38,50,0,0,3,0
C6,22p,C0805,29.21,24.77,0,1,38,50,0,0,3,0
R17,1k,R0805,9.65,53.72,180,1,4,80,0,0,3,0
IC5,SIM-ST-MFF2,PSON127P500X600X82-9N,26.04,34.93,0,1,83,50,0,0,3,0
R5,22,R0805,17.78,35.69,90,1,84,50,0,0,3,0
R6,22,R0805,20.32,35.69,90,1,84,50,0,0,3,0
R7,22,R0805,26.04,26.04,90,1,84,50,0,0,3,0
C4,100u,CT7343,5.71,16.51,180,2,85,50,2,0,3,0
C7,100u,CT7343,7.01,21.59,180,2,85,50,2,0,3,0
IC1,SAML21E,QFP80P900X900X120-32N,8.26,38.73,0,3,54,50,0,0,4,0
IC2,SIM7022,SIM800C,20.96,14.61,90,3,55,50,1,0,4,0
